"id","csv_ref_id","internship_field","internship_required_skills","internship_sector","is_exp_in_range","max_exp_gap","min_exp_gap","selection_status","user_experience","user_skills"
101,101,"java backend development","java,spring_boot,sql,hibernate,rest_api","Technology",1,0.0,1.0,1,1.0,"spring_boot,hibernate,sql,java,rest_api"
102,102,"java backend development","java,spring_boot,sql,hibernate,rest_api","Technology",1,1.0,0.0,0,0.0,"java,sql,spring_boot,hibernate"
103,103,"java backend development","java,spring_boot,sql,hibernate,rest_api","Technology",1,1.0,0.0,0,0.0,"spring_boot,sql"
104,104,"java backend development","java,spring_boot,sql,hibernate,rest_api","Technology",1,1.0,0.0,1,0.0,"spring_boot,java,rest_api"
105,105,"java backend development","java,spring_boot,sql,hibernate,rest_api","Technology",1,0.0,1.0,1,1.0,"sql,spring_boot,java,hibernate,rest_api"
106,106,"java backend development","java,spring_boot,sql,hibernate,rest_api","Technology",1,1.0,0.0,1,0.0,"rest_api,sql,spring_boot,hibernate,java"
107,107,"java backend development","java,spring_boot,sql,hibernate,rest_api","Technology",1,1.0,0.0,0,0.0,"sql,rest_api,spring_boot,java,hibernate"
108,108,"java backend development","java,spring_boot,sql,hibernate,rest_api","Technology",1,0.0,1.0,1,1.0,"hibernate,java,sql"
109,109,"java backend development","java,spring_boot,sql,hibernate,rest_api","Technology",1,1.0,0.0,0,0.0,"sql,java"
110,110,"java backend development","java,spring_boot,sql,hibernate,rest_api","Technology",1,1.0,0.0,1,0.0,"sql,rest_api,hibernate,spring_boot"
111,111,"java backend development","java,spring_boot,sql,jwt,validation","Technology",1,0.0,1.0,1,1.0,"validation,spring_boot,sql,jwt"
112,112,"java backend development","java,spring_boot,sql,jwt,validation","Technology",1,0.0,1.0,1,1.0,"java,spring_boot,validation,jwt"
113,113,"java backend development","java,spring_boot,sql,jwt,validation","Technology",1,0.0,1.0,0,1.0,"java,spring_boot,validation"
114,114,"java backend development","java,spring_boot,sql,jwt,validation","Technology",1,0.0,1.0,0,1.0,"validation,java,spring_boot,sql"
115,115,"java backend development","java,spring_boot,sql,jwt,validation","Technology",1,1.0,0.0,1,0.0,"java,validation,sql,jwt,spring_boot"
116,116,"java backend development","java,spring_boot,sql,jwt,validation","Technology",1,0.0,1.0,0,1.0,"validation,jwt,sql"
117,117,"java backend development","java,spring_boot,sql,jwt,validation","Technology",1,0.0,1.0,1,1.0,"spring_boot,jwt"
118,118,"java backend development","java,spring_boot,sql,jwt,validation","Technology",1,1.0,0.0,1,0.0,"java,validation,spring_boot"
119,119,"java backend development","java,spring_boot,sql,jwt,validation","Technology",1,0.0,1.0,1,1.0,"sql,java,spring_boot"
120,120,"java backend development","java,spring_boot,sql,jwt,validation","Technology",1,1.0,0.0,0,0.0,"java,sql,jwt"
121,121,"java backend development","java,spring,jdbc,sql,logging","Technology",1,1.0,0.0,1,0.0,"jdbc,logging,sql,java"
122,122,"java backend development","java,spring,jdbc,sql,logging","Technology",1,1.0,0.0,1,0.0,"spring,jdbc,logging"
123,123,"java backend development","java,spring,jdbc,sql,logging","Technology",1,0.0,1.0,1,1.0,"logging,sql"
124,124,"java backend development","java,spring,jdbc,sql,logging","Technology",1,1.0,0.0,0,0.0,"logging,java"
125,125,"java backend development","java,spring,jdbc,sql,logging","Technology",1,1.0,0.0,0,0.0,"spring,java,jdbc,logging"
126,126,"java backend development","java,spring,jdbc,sql,logging","Technology",1,0.0,1.0,0,1.0,"spring,logging,jdbc"
127,127,"java backend development","java,spring,jdbc,sql,logging","Technology",1,0.0,1.0,1,1.0,"logging,spring"
128,128,"java backend development","java,spring,jdbc,sql,logging","Technology",1,1.0,0.0,1,0.0,"java,spring,logging,sql"
129,129,"java backend development","java,spring,jdbc,sql,logging","Technology",1,0.0,1.0,1,1.0,"sql,jdbc,logging"
130,130,"java backend development","java,spring,jdbc,sql,logging","Technology",1,0.0,1.0,1,1.0,"spring,logging,sql"
131,131,"java backend development","java,rest_api,swagger,postman","Technology",1,0.0,0.0,1,0.0,"swagger,java,rest_api,postman"
132,132,"java backend development","java,rest_api,swagger,postman","Technology",1,0.0,0.0,1,0.0,"java,rest_api"
133,133,"java backend development","java,rest_api,swagger,postman","Technology",1,0.0,0.0,1,0.0,"swagger,java"
134,134,"java backend development","java,rest_api,swagger,postman","Technology",1,0.0,0.0,0,0.0,"java,swagger"
135,135,"java backend development","java,rest_api,swagger,postman","Technology",1,0.0,0.0,0,0.0,"java,postman"
136,136,"java backend development","java,rest_api,swagger,postman","Technology",1,0.0,0.0,1,0.0,"postman,swagger,rest_api,java"
137,137,"java backend development","java,rest_api,swagger,postman","Technology",1,0.0,0.0,1,0.0,"swagger,postman,rest_api,java"
138,138,"java backend development","java,rest_api,swagger,postman","Technology",1,0.0,0.0,1,0.0,"java,rest_api,swagger,postman"
139,139,"java backend development","java,rest_api,swagger,postman","Technology",1,0.0,0.0,0,0.0,"java,swagger"
140,140,"java backend development","java,rest_api,swagger,postman","Technology",1,0.0,0.0,1,0.0,"postman,java,swagger,rest_api"
141,141,"java backend development","java,hibernate,jpa,sql","Technology",1,1.0,0.0,0,0.0,"jpa,java"
142,142,"java backend development","java,hibernate,jpa,sql","Technology",1,0.0,1.0,1,1.0,"jpa,java"
143,143,"java backend development","java,hibernate,jpa,sql","Technology",1,1.0,0.0,1,0.0,"hibernate,sql,java,jpa"
144,144,"java backend development","java,hibernate,jpa,sql","Technology",1,0.0,1.0,1,1.0,"hibernate,java,sql,jpa"
145,145,"java backend development","java,hibernate,jpa,sql","Technology",1,1.0,0.0,0,0.0,"hibernate,java,jpa"
146,146,"java backend development","java,hibernate,jpa,sql","Technology",1,0.0,1.0,1,1.0,"hibernate,jpa,java,sql"
147,147,"java backend development","java,hibernate,jpa,sql","Technology",1,1.0,0.0,0,0.0,"java,jpa,sql"
148,148,"java backend development","java,hibernate,jpa,sql","Technology",1,0.0,1.0,1,1.0,"jpa,java,sql"
149,149,"java backend development","java,hibernate,jpa,sql","Technology",1,0.0,1.0,0,1.0,"java,sql,jpa"
150,150,"java backend development","java,hibernate,jpa,sql","Technology",1,1.0,0.0,1,0.0,"hibernate,java,jpa,sql"
151,151,"java backend development","java,spring_boot,pagination,filtering","Technology",1,0.0,1.0,1,1.0,"pagination,java,spring_boot"
152,152,"java backend development","java,spring_boot,pagination,filtering","Technology",1,1.0,0.0,0,0.0,"java,pagination"
153,153,"java backend development","java,spring_boot,pagination,filtering","Technology",1,0.0,1.0,1,1.0,"java,spring_boot,filtering,pagination"
154,154,"java backend development","java,spring_boot,pagination,filtering","Technology",1,0.0,1.0,0,1.0,"java,filtering"
155,155,"java backend development","java,spring_boot,pagination,filtering","Technology",1,0.0,1.0,1,1.0,"spring_boot,pagination,filtering,java"
156,156,"java backend development","java,spring_boot,pagination,filtering","Technology",1,0.0,1.0,1,1.0,"filtering,pagination,java,spring_boot"
157,157,"java backend development","java,spring_boot,pagination,filtering","Technology",1,0.0,1.0,1,1.0,"java,spring_boot,filtering"
158,158,"java backend development","java,spring_boot,pagination,filtering","Technology",1,0.0,1.0,1,1.0,"java,spring_boot"
159,159,"java backend development","java,spring_boot,pagination,filtering","Technology",1,1.0,0.0,1,0.0,"java,pagination"
160,160,"java backend development","java,spring_boot,pagination,filtering","Technology",1,0.0,1.0,1,1.0,"java,pagination"
161,161,"java backend development","java,sql,indexing,query_optimization","Technology",1,0.0,0.0,1,0.0,"java,query_optimization,indexing,sql"
162,162,"java backend development","java,sql,indexing,query_optimization","Technology",1,0.0,0.0,1,0.0,"indexing,java"
163,163,"java backend development","java,sql,indexing,query_optimization","Technology",1,0.0,0.0,1,0.0,"java,sql,indexing,query_optimization"
164,164,"java backend development","java,sql,indexing,query_optimization","Technology",1,0.0,0.0,1,0.0,"indexing,query_optimization,sql"
165,165,"java backend development","java,sql,indexing,query_optimization","Technology",1,0.0,0.0,1,0.0,"sql,indexing,java,query_optimization"
166,166,"java backend development","java,sql,indexing,query_optimization","Technology",1,0.0,0.0,1,0.0,"query_optimization,indexing,java,sql"
167,167,"java backend development","java,sql,indexing,query_optimization","Technology",1,0.0,0.0,1,0.0,"java,sql"
168,168,"java backend development","java,sql,indexing,query_optimization","Technology",1,0.0,0.0,1,0.0,"java,sql,query_optimization"
169,169,"java backend development","java,sql,indexing,query_optimization","Technology",1,0.0,0.0,1,0.0,"indexing,query_optimization,sql,java"
170,170,"java backend development","java,sql,indexing,query_optimization","Technology",1,0.0,0.0,1,0.0,"sql,java,indexing,query_optimization"
171,171,"java backend development","java,spring_boot,exception_handling","Technology",1,0.0,0.0,0,0.0,"java,exception_handling,spring_boot"
172,172,"java backend development","java,spring_boot,exception_handling","Technology",1,0.0,0.0,1,0.0,"exception_handling,java,spring_boot"
173,173,"java backend development","java,spring_boot,exception_handling","Technology",1,0.0,0.0,1,0.0,"exception_handling,spring_boot"
174,174,"java backend development","java,spring_boot,exception_handling","Technology",1,0.0,0.0,0,0.0,"exception_handling,java,spring_boot"
175,175,"java backend development","java,spring_boot,exception_handling","Technology",1,0.0,0.0,1,0.0,"java,spring_boot"
176,176,"java backend development","java,spring_boot,exception_handling","Technology",1,0.0,0.0,1,0.0,"exception_handling,java,spring_boot"
177,177,"java backend development","java,spring_boot,exception_handling","Technology",1,0.0,0.0,1,0.0,"spring_boot,java,exception_handling"
178,178,"java backend development","java,spring_boot,exception_handling","Technology",1,0.0,0.0,1,0.0,"java,spring_boot"
179,179,"java backend development","java,spring_boot,exception_handling","Technology",1,0.0,0.0,1,0.0,"exception_handling,java,spring_boot"
180,180,"java backend development","java,spring_boot,exception_handling","Technology",1,0.0,0.0,1,0.0,"spring_boot,exception_handling,java"
181,181,"java backend development","java,spring_boot,security,jwt","Technology",1,0.0,1.0,1,1.0,"java,jwt,security,spring_boot"
182,182,"java backend development","java,spring_boot,security,jwt","Technology",1,0.0,1.0,1,1.0,"spring_boot,security,jwt"
183,183,"java backend development","java,spring_boot,security,jwt","Technology",1,1.0,0.0,0,0.0,"spring_boot,jwt"
184,184,"java backend development","java,spring_boot,security,jwt","Technology",1,0.0,1.0,0,1.0,"java,jwt"
185,185,"java backend development","java,spring_boot,security,jwt","Technology",1,1.0,0.0,1,0.0,"java,jwt,security"
186,186,"java backend development","java,spring_boot,security,jwt","Technology",1,0.0,1.0,0,1.0,"security,spring_boot"
187,187,"java backend development","java,spring_boot,security,jwt","Technology",1,1.0,0.0,1,0.0,"security,java,jwt,spring_boot"
188,188,"java backend development","java,spring_boot,security,jwt","Technology",1,1.0,0.0,1,0.0,"spring_boot,jwt,java,security"
189,189,"java backend development","java,spring_boot,security,jwt","Technology",1,1.0,0.0,0,0.0,"spring_boot,java,jwt"
190,190,"java backend development","java,spring_boot,security,jwt","Technology",1,0.0,1.0,0,1.0,"java,security"
191,191,"java backend development","java,rest_api,microservices,sql","Technology",1,1.0,0.0,1,0.0,"microservices,java,sql,rest_api"
192,192,"java backend development","java,rest_api,microservices,sql","Technology",1,0.0,1.0,1,1.0,"sql,rest_api"
193,193,"java backend development","java,rest_api,microservices,sql","Technology",1,1.0,0.0,1,0.0,"java,microservices,sql,rest_api"
194,194,"java backend development","java,rest_api,microservices,sql","Technology",1,1.0,0.0,0,0.0,"sql,rest_api,microservices"
195,195,"java backend development","java,rest_api,microservices,sql","Technology",1,0.0,1.0,0,1.0,"java,microservices"
196,196,"java backend development","java,rest_api,microservices,sql","Technology",1,0.0,1.0,1,1.0,"microservices,java,rest_api,sql"
197,197,"java backend development","java,rest_api,microservices,sql","Technology",1,0.0,1.0,1,1.0,"rest_api,java,sql"
198,198,"java backend development","java,rest_api,microservices,sql","Technology",1,1.0,0.0,1,0.0,"rest_api,sql"
199,199,"java backend development","java,rest_api,microservices,sql","Technology",1,1.0,0.0,1,0.0,"microservices,java,rest_api"
200,200,"java backend development","java,rest_api,microservices,sql","Technology",1,0.0,1.0,0,1.0,"rest_api,microservices,sql"
